ID_RE,Stations
F15/2505 /  18 octobre 2024,Vert-Galant
F15/2505 /  18 octobre 2024,Villeparisis - Mitry-le-Neuf
F15/2505 /  18 octobre 2024,Sevran - Livry
F36/0621 /  19 octobre 2024,
F49/0896 /  18 octobre 2024,
E92/0862 /  17 octobre 2024,
F10/0465 /  17 octobre 2024,Mairie d'Issy
F10/0465 /  17 octobre 2024,Issy
F10/0465 /  17 octobre 2024,Jacques Henri Lartigue
F18/1547 /  17 octobre 2024,Gabriel Péri - Asnières - Gennevilliers
F18/1547 /  17 octobre 2024,Mairie de Clichy
F18/1547 /  17 octobre 2024,Les Grésillons
F14/0048 /  17 octobre 2024,Porte d'Asnières - Marguerite Long
F14/0048 /  17 octobre 2024,Louise Michel
F14/0048 /  17 octobre 2024,Porte de Champerret
F44/1515 /  19 octobre 2024,Sevran - Livry
F44/1515 /  19 octobre 2024,Sevran - Beaudottes
F44/1515 /  19 octobre 2024,Rougemont - Chanteloup
F53/1157 /  19 octobre 2024,
F50/2041 /  19 octobre 2024,Saint-Ambroise
F50/2041 /  19 octobre 2024,Richard-Lenoir
F50/2041 /  19 octobre 2024,Parmentier
F47/3023 /  17 octobre 2024,
D56/0600 /  17 octobre 2024,
F25/2013 /  17 octobre 2024,Massy - Verrières
F25/2013 /  17 octobre 2024,Les Baconnets
F25/2013 /  17 octobre 2024,Fontaine-Michalon
F47/1100 /  17 octobre 2024,
F24/1823 /  17 octobre 2024,
F52/1757 /  19 octobre 2024,
F47/3314 /  17 octobre 2024,
F49/0338 /  17 octobre 2024,Sannois
F49/0338 /  17 octobre 2024,Cernay
F49/0338 /  17 octobre 2024,Ermont-Eaubonne
F50/1620 /  17 octobre 2024,Ella Fitzgerald
F50/1620 /  17 octobre 2024,Pantin
F50/1620 /  17 octobre 2024,Delphine Seyrig
F29/1665 /  18 octobre 2024,Dordives
F29/1665 /  18 octobre 2024,Ferrières - Fontenay
F50/2795 /  17 octobre 2024,Vaucresson
F50/2795 /  17 octobre 2024,La Celle-Saint-Cloud
F50/2795 /  17 octobre 2024,Garches - Marnes-la-Coquette
F03/0950 /  17 octobre 2024,Les Boullereux Champigny
F03/0950 /  17 octobre 2024,Champigny
F03/0950 /  17 octobre 2024,Nogent le Perreux
F33/0250 /  17 octobre 2024,Fort d'Aubervilliers
F33/0250 /  17 octobre 2024,La Courneuve - 8 Mai 1945
F33/0250 /  17 octobre 2024,Maurice Lachâtre
F38/2265 /  17 octobre 2024,
F06/1127 /  19 octobre 2024,
E85/0592 /  17 octobre 2024,Créteil - Université
E85/0592 /  17 octobre 2024,Saint-Maur - Créteil
E85/0592 /  17 octobre 2024,Créteil - Préfecture (Hôtel de Ville)
F23/0212 /  17 octobre 2024,Pont-de-Rungis - Aéroport d'Orly
F23/0212 /  17 octobre 2024,Caroline Aigle
F23/0212 /  17 octobre 2024,Orly - Ville
F08/0954 /  17 octobre 2024,
F50/2774 /  17 octobre 2024,
F49/0269 /  17 octobre 2024,Barbara
F49/0269 /  17 octobre 2024,Mairie de Montrouge
F49/0269 /  17 octobre 2024,Porte d'Orléans (Général Leclerc)
E19/1951 /  19 octobre 2024,
F44/1001 /  19 octobre 2024,Trappes
F44/1001 /  19 octobre 2024,Saint-Quentin-en-Yvelines
F44/1001 /  19 octobre 2024,Saint-Cyr
F46/2216 /  17 octobre 2024,Villejuif - Louis Aragon
F46/2216 /  17 octobre 2024,Lamartine
F46/2216 /  17 octobre 2024,Villejuif - Paul Vaillant-Couturier
F00/2430 /  17 octobre 2024,Meudon - Val Fleury
F00/2430 /  17 octobre 2024,Meudon
F00/2430 /  17 octobre 2024,Meudon-sur-Seine
F45/0153 /  17 octobre 2024,
F34/0319 /  17 octobre 2024,Les Gobelins
F34/0319 /  17 octobre 2024,Censier - Daubenton
F34/0319 /  17 octobre 2024,Port-Royal
F51/0263 /  17 octobre 2024,Porte de Vanves
F51/0263 /  17 octobre 2024,Brancion
F51/0263 /  17 octobre 2024,Plaisance
F48/3006 /  17 octobre 2024,
F45/1311 /  18 octobre 2024,
F35/1443 /  17 octobre 2024,
D19/0337 /  17 octobre 2024,
F41/1773 /  19 octobre 2024,
F14/2130 /  17 octobre 2024,
F30/0227 /  17 octobre 2024,Courcelle-sur-Yvette
F30/0227 /  17 octobre 2024,Gif-sur-Yvette
F30/0227 /  17 octobre 2024,La Hacquinière
F23/0915 /  17 octobre 2024,
F48/0394 /  11 octobre 2024,
F36/2190 /  17 octobre 2024,Esbly
F36/2190 /  17 octobre 2024,Montry - Condé
F36/2190 /  17 octobre 2024,Marne-la-Vallée - Chessy
F35/3347 /  17 octobre 2024,Mormant
F35/3347 /  17 octobre 2024,Verneuil-l'Etang
F35/3347 /  17 octobre 2024,Fontaine-le-Port
F41/2095 /  17 octobre 2024,
E81/1291 /  17 octobre 2024,Conflans - Sainte-Honorine
E81/1291 /  17 octobre 2024,Conflans - Fin d’Oise
E81/1291 /  17 octobre 2024,Maurecourt
F04/1353 /  12 octobre 2024,Bourg-la-Reine
F04/1353 /  12 octobre 2024,Sceaux
F04/1353 /  12 octobre 2024,Fontenay-aux-Roses
F51/0722 /  17 octobre 2024,
F45/2433 /  17 octobre 2024,Vanves - Malakoff
F45/2433 /  17 octobre 2024,Malakoff - Plateau de Vanves
F45/2433 /  17 octobre 2024,Malakoff - Rue Étienne Dolet
E63/1456 /  19 octobre 2024,
F39/2728 /  15 octobre 2024,
E69/1122 /  18 octobre 2024,
F43/1985 /  18 octobre 2024,Trappes
F43/1985 /  18 octobre 2024,Villepreux - Les Clayes
F43/1985 /  18 octobre 2024,Plaisir - Les Clayes
F36/2105 /  17 octobre 2024,Chemin d'Antony
F36/2105 /  17 octobre 2024,Rungis - La Fraternelle
