Station,Lines
Vert-Galant,rer-b
Villeparisis - Mitry-le-Neuf,rer-b
Sevran - Livry,rer-b
Mairie d'Issy,metro-12
Issy,rer-c
Jacques Henri Lartigue,tram-2
Gabriel Péri - Asnières - Gennevilliers,metro-13
Gabriel Péri - Asnières - Gennevilliers,tram-1
Mairie de Clichy,metro-13
Les Grésillons,rer-c
Porte d'Asnières - Marguerite Long,tram-3b
Louise Michel,metro-3
Porte de Champerret,metro-3
Sevran - Beaudottes,rer-b
Rougemont - Chanteloup,tram-4
Saint-Ambroise,metro-9
Richard-Lenoir,metro-5
Parmentier,metro-3
Massy - Verrières,rer-b
Massy - Verrières,rer-c
Les Baconnets,rer-b
Fontaine-Michalon,rer-b
Sannois,train-j
Cernay,rer-c
Cernay,train-h
Ermont-Eaubonne,rer-c
Ermont-Eaubonne,train-h
Ermont-Eaubonne,train-j
Ella Fitzgerald,tram-3b
Pantin,rer-e
Delphine Seyrig,tram-3b
Dordives,train-r
Ferrières - Fontenay,train-r
Vaucresson,train-l
La Celle-Saint-Cloud,train-l
Garches - Marnes-la-Coquette,train-l
Les Boullereux Champigny,rer-e
Champigny,rer-a
Nogent le Perreux,rer-e
Fort d'Aubervilliers,metro-7
La Courneuve - 8 Mai 1945,metro-7
La Courneuve - 8 Mai 1945,tram-1
Maurice Lachâtre,tram-1
Créteil - Université,metro-8
Saint-Maur - Créteil,rer-a
Créteil - Préfecture (Hôtel de Ville),metro-8
Pont-de-Rungis - Aéroport d'Orly,rer-c
Caroline Aigle,tram-7
Orly - Ville,rer-c
Barbara,metro-4
Mairie de Montrouge,metro-4
Porte d'Orléans (Général Leclerc),metro-4
Porte d'Orléans (Général Leclerc),tram-3a
Trappes,train-n
Trappes,train-u
Saint-Quentin-en-Yvelines,rer-c
Saint-Quentin-en-Yvelines,train-n
Saint-Quentin-en-Yvelines,train-u
Saint-Cyr,rer-c
Saint-Cyr,train-n
Saint-Cyr,train-u
Villejuif - Louis Aragon,metro-7
Villejuif - Louis Aragon,tram-7
Lamartine,tram-7
Villejuif - Paul Vaillant-Couturier,metro-7
Meudon - Val Fleury,rer-c
Meudon,train-n
Meudon-sur-Seine,tram-2
Les Gobelins,metro-7
Censier - Daubenton,metro-7
Port-Royal,rer-b
Porte de Vanves,metro-13
Porte de Vanves,tram-3a
Brancion,tram-3a
Plaisance,metro-13
Courcelle-sur-Yvette,rer-b
Gif-sur-Yvette,rer-b
La Hacquinière,rer-b
Esbly,train-p
Montry - Condé,train-p
Marne-la-Vallée - Chessy,rer-a
Mormant,train-p
Verneuil-l'Etang,train-p
Fontaine-le-Port,train-r
Conflans - Sainte-Honorine,train-j
Conflans - Fin d’Oise,rer-a
Conflans - Fin d’Oise,train-j
Conflans - Fin d’Oise,train-l
Maurecourt,train-j
Bourg-la-Reine,rer-b
Sceaux,rer-b
Fontenay-aux-Roses,rer-b
Vanves - Malakoff,train-n
Malakoff - Plateau de Vanves,metro-13
Malakoff - Rue Étienne Dolet,metro-13
Villepreux - Les Clayes,train-n
Plaisir - Les Clayes,train-n
Chemin d'Antony,rer-c
Rungis - La Fraternelle,tram-7
Rungis - La Fraternelle,rer-c
Place Monge (Jardin des Plantes - Arènes de Lutèce),metro-7
Cardinal Lemoine,metro-10
Nogent-sur-Marne,rer-a
Le Parc de Saint-Maur,rer-a
Créteil - L'Échat (Hôpital Henri Mondor),metro-8
Saint-Cloud,train-l
Saint-Cloud,train-u
Les Milons,tram-2
Parc de Saint-Cloud,tram-2
Bougival,train-l
Torcy,rer-a
Bussy-Saint-Georges,rer-a
Lognes,rer-a
Sentier,metro-3
