reference;nombre de pieces;nombre de chambres;surface;surface terrain;prix m2
F15/2505 /  18 octobre 2024;7.0;5.0;130.0;402.0;2.962
F36/0621 /  19 octobre 2024;2.0;;290.0;;552.0
F49/0896 /  18 octobre 2024;3.0;2.0;75.0;;3.667
E92/0862 /  17 octobre 2024;6.0;4.0;135.0;735.0;3.104
F10/0465 /  17 octobre 2024;2.0;1.0;51.0;;9.608
F18/1547 /  17 octobre 2024;3.0;2.0;66.0;;5.455
F14/0048 /  17 octobre 2024;5.0;4.0;97.0;;8.536
F44/1515 /  19 octobre 2024;4.0;3.0;80.0;;2.375
F53/1157 /  19 octobre 2024;5.0;4.0;165.0;165.0;2.303
F50/2041 /  19 octobre 2024;;;75.0;;
F47/3023 /  17 octobre 2024;7.0;4.0;298.0;3.513;1.946
D56/0600 /  17 octobre 2024;;;24.839;;
F25/2013 /  17 octobre 2024;;;;;
F47/1100 /  17 octobre 2024;6.0;4.0;190.0;1.5;1.553
F24/1823 /  17 octobre 2024;1.0;1.0;19.0;;9.474
F52/1757 /  19 octobre 2024;6.0;4.0;150.0;400.0;2.133
F47/3314 /  17 octobre 2024;2.0;1.0;49.0;;4.184
F49/0338 /  17 octobre 2024;3.0;2.0;65.0;;3.262
F50/1620 /  17 octobre 2024;3.0;2.0;69.0;;6.377
F29/1665 /  18 octobre 2024;6.0;4.0;199.0;1.244;1.457
F50/2795 /  17 octobre 2024;3.0;2.0;80.0;60.0;6.813
F03/0950 /  17 octobre 2024;5.0;3.0;90.0;97.0;4.167
F33/0250 /  17 octobre 2024;8.0;5.0;245.0;;2.551
F38/2265 /  17 octobre 2024;5.0;4.0;130.0;1.4;2.3
F06/1127 /  19 octobre 2024;2.0;1.0;32.0;;
E85/0592 /  17 octobre 2024;7.0;4.0;140.0;;
F23/0212 /  17 octobre 2024;5.0;3.0;140.0;473.0;2.979
F08/0954 /  17 octobre 2024;8.0;4.0;155.0;1.0;
F50/2774 /  17 octobre 2024;5.0;3.0;130.0;10.0;2.0
F49/0269 /  17 octobre 2024;2.0;1.0;40.0;;8.125
E19/1951 /  19 octobre 2024;8.0;6.0;160.0;3.08;
F44/1001 /  19 octobre 2024;6.0;5.0;208.0;750.0;4.303
F46/2216 /  17 octobre 2024;6.0;4.0;220.0;812.0;5.909
F00/2430 /  17 octobre 2024;3.0;2.0;64.0;;5.219
F45/0153 /  17 octobre 2024;2.0;1.0;34.0;;
F34/0319 /  17 octobre 2024;;;70.0;;
F51/0263 /  17 octobre 2024;1.0;;27.0;;9.259
F48/3006 /  17 octobre 2024;6.0;5.0;150.0;682.0;3.233
F45/1311 /  18 octobre 2024;4.0;2.0;73.0;;1.986
F35/1443 /  17 octobre 2024;10.0;6.0;268.0;464.0;2.351
D19/0337 /  17 octobre 2024;20.0;10.0;630.0;4.0;937.0
F41/1773 /  19 octobre 2024;6.0;4.0;160.0;576.0;1.938
F14/2130 /  17 octobre 2024;3.0;2.0;80.0;;
F30/0227 /  17 octobre 2024;5.0;4.0;140.0;301.0;3.179
F23/0915 /  17 octobre 2024;6.0;5.0;185.0;10.0;1.622
F48/0394 /  11 octobre 2024;5.0;4.0;130.0;450.0;1.5
F36/2190 /  17 octobre 2024;6.0;4.0;200.0;2.5;2.7
F35/3347 /  17 octobre 2024;;;400.0;;
F41/2095 /  17 octobre 2024;11.0;9.0;422.0;2.89;
E81/1291 /  17 octobre 2024;6.0;3.0;180.0;;
F04/1353 /  12 octobre 2024;2.0;1.0;26.0;;6.154
F51/0722 /  17 octobre 2024;3.0;2.0;60.0;;7.25
F45/2433 /  17 octobre 2024;1.0;;17.3;;6.763
E63/1456 /  19 octobre 2024;4.0;3.0;79.0;;2.722
F39/2728 /  15 octobre 2024;;;1.33;;83.0
E69/1122 /  18 octobre 2024;10.0;6.0;250.0;5.918;1.32
F43/1985 /  18 octobre 2024;5.0;4.0;107.0;;3.729
F36/2105 /  17 octobre 2024;6.0;4.0;160.0;196.0;3.719
F22/2507 /  17 octobre 2024;2.0;1.0;35.0;;
F28/0901 /  17 octobre 2024;;;992.0;;272.0
F51/3057 /  17 octobre 2024;6.0;4.0;200.0;3.935;1.643
F20/1137 /  17 octobre 2024;6.0;4.0;140.0;30.0;3.921
F33/1094 /  17 octobre 2024;2.0;1.0;60.0;96.0;5.583
F40/1205 /  19 octobre 2024;6.0;4.0;232.0;1.395;2.974
F22/0847 /  17 octobre 2024;1.0;;20.0;;8.75
F00/1504 /  18 octobre 2024;2.0;1.0;72.0;;5.069
F27/0110 /  17 octobre 2024;4.0;3.0;80.0;150.0;6.238
F49/3133 /  17 octobre 2024;3.0;2.0;65.0;;2.923
F32/3137 /  17 octobre 2024;5.0;3.0;135.0;;2.067
F38/0248 /  17 octobre 2024;9.0;4.0;224.0;4.144;2.679
E80/1307 /  17 octobre 2024;2.0;1.0;51.0;;
F29/1805 /  19 octobre 2024;6.0;4.0;137.0;480.0;
F36/0587 /  17 octobre 2024;6.0;5.0;190.0;640.0;6.053
E78/3598 /  17 octobre 2024;6.0;4.0;150.0;1.26;7.6
F50/2441 /  17 octobre 2024;4.0;3.0;70.0;532.0;
F32/3172 /  17 octobre 2024;4.0;3.0;83.0;160.0;4.337
F05/2472 /  17 octobre 2024;4.0;2.0;68.0;;2.794
F12/0151 /  17 octobre 2024;1.0;;44.0;;10.818
F33/1610 /  17 octobre 2024;;;80.0;;
F24/1567 /  19 octobre 2024;5.0;4.0;180.0;620.0;3.05
F46/1663 /  18 octobre 2024;4.0;2.0;84.0;;4.012
F38/0277 /  17 octobre 2024;;;327.0;;416.0
F50/2671 /  17 octobre 2024;8.0;6.0;229.0;;6.419
F33/1675 /  19 octobre 2024;5.0;3.0;100.0;290.0;7.6
F33/0356 /  17 octobre 2024;4.0;2.0;93.0;45.0;11.075
F36/0533 /  19 octobre 2024;;;273.0;;462.0
E69/1695 /  18 octobre 2024;5.0;4.0;144.0;;2.292
F35/0869 /  17 octobre 2024;3.0;1.0;41.0;;9.634
F34/0870 /  17 octobre 2024;5.0;3.0;117.0;1.0;5.085
F34/0201 /  19 octobre 2024;5.0;4.0;92.0;367.0;4.043
F49/2764 /  17 octobre 2024;3.0;2.0;120.0;;3.242
F48/0316 /  11 octobre 2024;6.0;4.0;165.0;1.0;6.97
F51/3223 /  17 octobre 2024;2.0;1.0;17.8;;
D94/0633 /  17 octobre 2024;4.0;2.0;74.41;;9.206
F47/1973 /  18 octobre 2024;2.0;1.0;30.0;;7.833
F36/2908 /  17 octobre 2024;8.0;5.0;220.0;10.0;2.318
F33/0691 /  17 octobre 2024;4.0;3.0;77.0;;3.987
F43/1932 /  17 octobre 2024;4.0;3.0;85.0;;4.694
F44/1562 /  19 octobre 2024;2.0;1.0;41.75;;15.329
F33/0058 /  17 octobre 2024;5.0;4.0;118.0;660.0;2.415
F53/1711 /  19 octobre 2024;5.0;3.0;100.0;421.0;3.35
F48/1645 /  19 octobre 2024;4.0;3.0;81.0;;8.63
F17/0623 /  17 octobre 2024;;2.0;27.0;;
F29/1478 /  17 octobre 2024;6.0;5.0;152.0;418.0;
F06/2155 /  17 octobre 2024;6.0;4.0;150.0;876.0;4.2
F10/0972 /  18 octobre 2024;3.0;2.0;66.0;;6.212
F34/0867 /  17 octobre 2024;2.0;1.0;56.55;;4.545
F42/1415 /  17 octobre 2024;2.0;1.0;54.0;;1.389
E12/1592 /  18 octobre 2024;;;100.0;;
F51/1060 /  17 octobre 2024;2.0;1.0;27.0;;8.704
F22/0485 /  17 octobre 2024;3.0;2.0;66.21;;3.987
F35/1251 /  13 octobre 2024;5.0;4.0;192.0;737.0;3.896
F52/1287 /  19 octobre 2024;4.0;2.0;87.0;;8.391
E15/2285 /  17 octobre 2024;9.0;5.0;267.0;7.0;2.528
F15/2210 /  17 octobre 2024;5.0;4.0;170.0;2.26;2.118
F35/1737 /  18 octobre 2024;4.0;2.0;115.0;16.0;2.591
F22/1416 /  19 octobre 2024;2.0;1.0;48.0;;6.667
F45/0350 /  17 octobre 2024;3.0;2.0;62.0;;6.435
F38/2542 /  17 octobre 2024;3.0;2.0;46.0;;20.652
F32/0349 /  17 octobre 2024;6.0;4.0;188.64;;8.747
F34/1970 /  19 octobre 2024;3.0;2.0;70.0;;10.0
F38/1819 /  17 octobre 2024;5.0;4.0;140.0;635.0;3.464
F41/0611 /  17 octobre 2024;6.0;5.0;135.0;351.0;2.407
F30/0261 /  18 octobre 2024;3.0;1.0;65.0;;3.985
F50/0479 /  17 octobre 2024;6.0;4.0;102.0;350.0;3.725
E98/0914 /  17 octobre 2024;5.0;4.0;105.0;174.0;2.829
E41/0143 /  17 octobre 2024;6.0;4.0;162.0;;9.846
F51/0362 /  19 octobre 2024;3.0;2.0;61.0;;2.295
F52/2715 /  14 octobre 2024;3.0;2.0;61.0;;8.115
F51/1621 /  18 octobre 2024;3.0;2.0;80.0;;9.988
E49/0034 /  17 octobre 2024;3.0;2.0;60.0;;2.817
E74/1816 /  18 octobre 2024;6.0;4.0;165.0;2.4;
D92/1251 /  18 octobre 2024;4.0;3.0;97.0;;2.68
F48/1977 /  19 octobre 2024;3.0;2.0;74.0;;5.27
F49/0216 /  17 octobre 2024;3.0;2.0;64.0;;7.203
D50/1806 /  19 octobre 2024;3.0;2.0;56.0;;8.036
F29/2814 /  17 octobre 2024;5.0;3.0;120.0;1.5;1.917
F32/0397 /  17 octobre 2024;6.0;4.0;135.0;2.5;1.407
F20/0164 /  17 octobre 2024;3.0;2.0;64.0;;10.297
F36/2934 /  17 octobre 2024;5.0;3.0;90.47;;2.2
E66/0983 /  17 octobre 2024;3.0;2.0;70.0;;
F47/2511 /  17 octobre 2024;4.0;3.0;98.2;303.0;4.572
F24/1105 /  17 octobre 2024;5.0;4.0;170.0;300.0;4.576
F46/2408 /  17 octobre 2024;4.0;3.0;83.0;;10.241
F35/2352 /  19 octobre 2024;7.0;5.0;189.0;1.197;3.704
F43/2057 /  17 octobre 2024;6.0;4.0;160.0;12.955;
F18/2530 /  17 octobre 2024;5.0;4.0;105.0;69.0;3.0
E93/0189 /  17 octobre 2024;4.0;3.0;80.0;;1.188
F37/1122 /  17 octobre 2024;8.0;6.0;300.0;2.7;1.317
F36/0475 /  19 octobre 2024;6.0;4.0;173.0;30.0;2.428
F45/2512 /  17 octobre 2024;;;287.0;;
F23/0570 /  17 octobre 2024;9.0;6.0;150.0;1.573;2.927
E70/2594 /  17 octobre 2024;2.0;1.0;32.5;;
F33/3292 /  17 octobre 2024;3.0;2.0;70.0;;6.414
F37/2768 /  17 octobre 2024;2.0;1.0;64.6;;11.378
F16/0704 /  17 octobre 2024;6.0;4.0;113.0;178.0;4.416
F33/0715 /  17 octobre 2024;5.0;3.0;143.0;1.356;6.545
F41/1952 /  17 octobre 2024;5.0;4.0;125.0;4.389;1.32
D88/1399 /  17 octobre 2024;5.0;2.0;75.0;;1.467
F32/3295 /  17 octobre 2024;;;463.0;;592.0
F43/2123 /  17 octobre 2024;3.0;2.0;82.0;;2.799
E76/1240 /  17 octobre 2024;5.0;3.0;150.0;915.0;1.6
F43/0828 /  17 octobre 2024;;;;;
F16/0794 /  17 octobre 2024;6.0;5.0;150.0;1.4;6.4
F51/1568 /  17 octobre 2024;6.0;3.0;160.0;375.0;1.231
F27/1098 /  17 octobre 2024;5.0;3.0;101.0;;3.386
F07/0566 /  17 octobre 2024;2.0;1.0;46.0;;3.978
F42/1990 /  17 octobre 2024;5.0;2.0;89.0;;10.787
E70/2674 /  17 octobre 2024;5.0;3.0;81.0;543.0;
E24/0923 /  19 octobre 2024;6.0;3.0;155.0;847.0;2.258
F28/0985 /  18 octobre 2024;2.0;1.0;37.09;;6.606
F06/2091 /  19 octobre 2024;;;2.636;;46.0
F35/1215 /  13 octobre 2024;5.0;3.0;90.0;291.0;3.1
E82/0477 /  18 octobre 2024;7.0;4.0;137.0;250.0;2.956
F19/2003 /  17 octobre 2024;4.0;3.0;286.0;10.75;2.269
F19/0284 /  18 octobre 2024;5.0;4.0;108.0;550.0;3.981
D48/0689 /  18 octobre 2024;10.0;6.0;450.0;2.0;1.2
E93/1870 /  17 octobre 2024;5.0;4.0;165.0;15.0;1.806
F28/0740 /  17 octobre 2024;7.0;5.0;190.0;1.498;1.968
E55/2131 /  17 octobre 2024;8.0;5.0;220.0;3.1;1.568
F47/1788 /  17 octobre 2024;1.0;;23.0;;6.087
F01/1884 /  17 octobre 2024;3.0;2.0;77.0;;
F52/1948 /  19 octobre 2024;4.0;2.0;119.0;415.0;4.513
F43/2005 /  18 octobre 2024;3.0;2.0;49.0;;6.837
F53/1619 /  18 octobre 2024;6.0;4.0;200.0;794.0;3.675
F48/1788 /  19 octobre 2024;6.0;5.0;163.0;230.0;5.583
F48/0416 /  17 octobre 2024;1.0;;33.0;;9.394
F23/1725 /  18 octobre 2024;5.0;4.0;150.0;515.0;2.867
F34/0027 /  17 octobre 2024;4.0;3.0;75.0;;4.399
F34/1346 /  17 octobre 2024;1.0;;31.0;;5.419
F49/3097 /  17 octobre 2024;3.0;2.0;65.0;;3.369
E78/1269 /  18 octobre 2024;9.0;5.0;285.0;885.0;5.228
F15/0114 /  17 octobre 2024;5.0;3.0;93.0;;
C98/1178 /  18 octobre 2024;25.0;10.0;450.0;1.325;
F41/1638 /  19 octobre 2024;3.0;2.0;60.0;;2.833
F40/1407 /  18 octobre 2024;2.0;1.0;35.37;;6.39
F28/1085 /  19 octobre 2024;10.0;6.0;215.0;1.4;3.907
F48/2986 /  17 octobre 2024;2.0;1.0;31.88;;5.583
F43/0545 /  17 octobre 2024;7.0;5.0;120.0;980.0;1.458
E88/0682 /  17 octobre 2024;;;632.0;;396.0
F00/1347 /  19 octobre 2024;;;150.0;;733.0
F29/0125 /  17 octobre 2024;2.0;1.0;46.0;;5.0
F52/2146 /  14 octobre 2024;1.0;;12.5;;
F15/0396 /  18 octobre 2024;5.0;3.0;100.0;;5.3
F48/1656 /  18 octobre 2024;4.0;3.0;108.0;;5.083
F40/1859 /  17 octobre 2024;6.0;5.0;152.0;1.5;4.928
E64/2839 /  17 octobre 2024;4.0;3.0;80.0;145.0;4.75
F29/1074 /  17 octobre 2024;3.0;2.0;60.0;;
F37/2383 /  17 octobre 2024;6.0;4.0;243.0;1.951;1.728
F08/1928 /  17 octobre 2024;4.0;3.0;93.0;;7.957
F43/0853 /  17 octobre 2024;6.0;4.0;96.0;530.0;2.813
F28/0345 /  17 octobre 2024;7.0;4.0;160.0;340.0;6.219
F13/0706 /  17 octobre 2024;8.0;6.0;208.0;780.0;1.659
F45/1448 /  19 octobre 2024;4.0;3.0;88.73;;2.919
E71/0875 /  17 octobre 2024;4.0;3.0;108.0;400.0;1.898
F47/2158 /  18 octobre 2024;6.0;5.0;240.0;840.0;2.792
F33/1409 /  18 octobre 2024;5.0;3.0;183.0;2.1;1.421
F34/1461 /  17 octobre 2024;3.0;2.0;63.86;;2.772
F28/2733 /  17 octobre 2024;8.0;7.0;180.0;1.0;2.194
F40/1590 /  19 octobre 2024;4.0;2.0;67.0;;3.134
F51/1775 /  18 octobre 2024;4.0;3.0;100.0;;3.19
F40/1133 /  18 octobre 2024;7.0;5.0;147.0;796.0;
E98/2399 /  18 octobre 2024;;;;;
