reference;postal_code;date;price;latitude;longitude;type;energy_class;description_text;url;transport_station_name
F15/2505 /  18 octobre 2024;93290.0;18/10/2024;385000.0;48.955392;2.576507;maison;D;"Maison traditionnelle de 5 chambres située dans un secteur pavillonnaire et proche de toutes commodités (écoles, transports et commerces).
Construction de 1994, sans vis à vis sur un terrain de 400m2, maison non mitoyenne avec du caractère et du charme avec ses poutres apparentes.
Cette demeure se compose au rez-de-chaussée d’un double séjour de 35m2 avec accès directe sur la cuisine lumineuse orientée jardin et terrasse, avec une suite parentale.
A l’étage : 4 chambres et une salle d’eau et une toilette séparée.
Et pour compléter le tout, un sous-sol total de 80m2.

Pour découvrir davantage cette maison confortable, une visite s’impose.

Pour tous renseignements, veuillez me contacter par e-mail.
Personne non sérieuse s’abstenir.";https://www.pap.fr/annonces/maison-tremblay-en-france-93290-r451502505;Vert-Galant//Villeparisis - Mitry-le-Neuf//Sevran - Livry
F36/0621 /  19 octobre 2024;37150.0;19/10/2024;160000.0;47.3274;0.992189;maison;;"En plein centre ville de Bléré  (Loire Valley, 4 kms A85, 10 kms des châteaux Chenonceaux, Amboise, 30 kms Tours )

Ensemble immobilier de caractère (ancien relais de poste XVIII, écurie)

Accès par portail pour  stationnement dans cour fermée
B : Bâtiment principal (ex Vignerie ) : 600 m2 environ (x 3 niveaux )
A : Grange (ex relais de poste ) : 200 m2  (x 2 niveaux )
C : Écurie : 117 m2  (x 2 niveaux )
Cour intérieur 72 m2 + 97 m2, puits.

Idéal pour activité commerciale / Artisan. Transformation possible en maison d’exception / maison artiste avec atelier/galerie. Projet investissement locatif

Possibilité d’acquérir  en plus ancienne Vignerie 600 m2 sur 3 niveaux avec présence de cuves  enterrées (3x 3000 L ) en pavé de verre.
Ensemble des 3 bâtiments : 350 000 € net.

Plus de photos sur demande avant visite";https://www.pap.fr/annonces/maison-blere-r453600621;
F49/0896 /  18 octobre 2024;13008.0;18/10/2024;275000.0;43.247423;5.393064;appartement;C;"Appartement au second étage sans ascenseur, pas de vis-à-vis et pas de voisin de palier.
Séjour de 28 m² donnant sur un balcon avec vue dégagée et au calme. Cuisine de 7m² avec éléments de rangement.
Possibilité de réunir la cuisine et le séjour pour faire une pièce de 35 m².
Chauffage électrique et climatisation dans le séjour.
Volets Roulants électriques.
Placards dans le couloir et une des deux chambres.
Résidence avec parkings.

Possibilité d'acheter un grand box en sous-sol avec une place de stationnement juste devant. (Plus 20.000 E au lieu de 30.000 E pour la personne qui achète le logement).
Appartement très lumineux et agréable à vivre.

Rafraîchissement à prévoir ( participation possible).";https://www.pap.fr/annonces/appartement-marseille-8e-13008-r454900896;
E92/0862 /  17 octobre 2024;30131.0;17/10/2024;419000.0;44.00443;4.767733;maison;D;"Idéalement située à Pujaut, dans un cadre paisible et lumineux, à quelques minutes d'Avignon et de l'autoroute A9.
À seulement quelques minutes à pied des commerces, écoles et toutes commodités.

Villa traditionnelle de 135 m2 - 6 pièces - orientée sud avec vue dégagée édifiée sur un terrain de 735m2 offre :

Au rez-de-chaussée :

• Une entrée mène à un vaste espace séjour/salle à manger, donnant sur une terrasse partiellement couverte,
• Une cuisine équipée s'ouvre également sur une grande terrasse et un abri de 32 m2,
• Une grande chambre,
• Un grand espace de vie avec baie vitrée et accès au jardin,

Une salle d'eau avec douche à l'italienne et un WC séparé complètent ce niveau.

À l'étage :

• Un palier dessert trois chambres avec rangements intégrés,
• Une grande salle de bain et un WC séparé.

La maison est équipée d'un chauffage électrique, d'un poêle à bois, et offre la possibilité de raccordement au gaz.
Elle dispose également d'un adoucisseur d'eau, d'une cave et d'un puits avec un petit local technique.

En complément, il est possible d'acquérir un terrain constructible attenant de 440 m2 avec viabilité et études de sol réalisées, pour un montant de 127.000 euros.
Accès indépendants pour chacun des lots.  Nous avons réalisé l'estimation du prix de vente de ce bien de manière indépendante et impartiale. Le propriétaire a choisi de mettre un prix cohérent avec ce que nous avions établi. Nous pouvons donc vous assurer que le prix de ce bien est cohérent avec le prix du marché.";https://www.pap.fr/annonces/maison-pujaut-30131-r449200862;
F10/0465 /  17 octobre 2024;92130.0;17/10/2024;490000.0;48.821338;2.268533;appartement;C;"Dans une rue recherchée, à 450 m du métro mairie d'Issy et des commerces, au 1er étage avec ascenseur d'une résidence calme, bien entretenue, sécurisée et gardiennée.

Très bel appartement 2 pièces de 51 m2, rénové fin 2019, traversant et bénéficiant d'une exposition plein sud.

Il comprend :
- une entrée
- un séjour ouvrant par baie vitrée coulissante sur un balcon exposé plein sud
- une cuisine séparée semi-équipée (placards, four, plaque induction, hotte)
- un couloir avec rangements
- une chambre avec une grande penderie
- une salle d'eau avec douche italienne et des WC séparés.

Une place de parking en sous-sol de la résidence ainsi qu'une cave complètent ce bien.

Local vélos.

Chauffage collectif gaz. Double vitrage.

Charges courantes de copropriété (chauffage inclus) : 2.550 € / an
Taxe foncière 2023 : 970 €.

Agences s'abstenir, merci.";https://www.pap.fr/annonces/appartement-issy-les-moulineaux-92130-r451000465;Mairie d'Issy//Issy//Jacques Henri Lartigue
F18/1547 /  17 octobre 2024;92600.0;17/10/2024;360000.0;48.913596;2.30041;appartement;E;"Idéalement positionné à proximité des commerces, écoles, transports(650m de Gabriel Péri) et espaces verts, dont le parc Robinson accessible en 10 minutes à pied, cet appartement se trouve dans une résidence sécurisée au premier étage sur sept d'un immeuble construit en 1969 (avec ascenseur).

Ce charmant appartement de 66 m², baigné de lumière grâce à son exposition Sud-Ouest et sa disposition traversante, offre un balcon de 8,13 m².

Il se compose d'une entrée indépendante, d'un salon donnant sur le balcon, d'une cuisine équipée séparée (entièrement rénovée récemment) avec une petite buanderie/cellier, de deux chambres (dont une ouvrant sur le balcon), d'une salle de bains avec baignoire et d'un wc séparé. De nombreux rangements sont disponibles.

Équipé d'un chauffage au gaz (chaudière récente : -3 ans), de double vitrage et d'un parquet d'origine au sol, l'appartement comprend également une place de parking et une cave.

Les charges de copropriété s'élèvent à 3500 €, et la taxe foncière à 1200 €.";https://www.pap.fr/annonces/appartement-asnieres-sur-seine-r451801547;Gabriel Péri - Asnières - Gennevilliers//Mairie de Clichy//Les Grésillons
F14/0048 /  17 octobre 2024;92300.0;17/10/2024;828000.0;48.890684;2.295141;appartement;D;"Appartement de 97 m² situé au 8ème étage, en très bon état général mais à rafraichir, lumineux, avec double exposition Sud-Nord sans vis-à-vis.
Il se compose d'une entrée avec couloir et placards desservant un séjour et un salon (ou chambre) donnant accès à un balcon de 13m², d'une cuisine équipée, d'une salle d'eau et d'un WC indépendant.
 La partie nuit se compose d'un dégagement desservant trois chambres (dont une avec espace bureau attenant) et d'une salle de bain. Un cellier complète ce bien qui bénéficie de nombreux rangements.

L'immeuble, de 18 étages, qui dispose d'un local vélos/poussettes et d'un local motos, est idéalement situé à Levallois-Perret, à proximité de nombreux commerces et des transports (métro, bus, RER C, station Velib).

Chauffage collectif (réseau de chaleur urbain).

Charges copropriété incluant chauffage, eau froide et chaude, ascenseurs et entretien des parties communes : 1.200€ par trimestre.

Taxe foncière : 1.540 €.

Diagnostic de performance énergétique : D.

Indice d'émission de gaz à effet de serre : D.";https://www.pap.fr/annonces/appartement-levallois-perret-r451400048;Porte d'Asnières - Marguerite Long//Louise Michel//Porte de Champerret
F44/1515 /  19 octobre 2024;93270.0;19/10/2024;190000.0;48.937554;2.534987;appartement;E;"Bel appartement de 4 pièces de 80 m² au Centre-ville de Sevran.

Dans une Résidence calme et très bien entretenue (gardien et entreprise de nettoyage).

 Ce bien de bon standing est aménagé de la manière
suivante au 3ème étage avec 2 ascenseurs :

- 1 salon donnant sur un balcon
 avec vue dégagée.

- 3 chambres dont 2 donnant sur le
balcon.

- 1 cuisine aménagée et équipée.

- 1 salle de bains.

 Atouts :

- Balcon pour profiter des beaux
 jours.
* ( vues magnifiques, sensation d'être en pleine forêt). *

- Emplacement privilégié, à moins  de 2 min à pied de la gare
 RER Sevran-Livry (ligne B) et de la futur Ligne 16 Métro Automatique (Grand Paris) à  seulement quelques centaines de mètres des arrêts de bus et  à proximité immédiate du parc des Sœurs.

 - Buanderie et dressing pour un  confort optimal.

- 1 place de parking en sous-sol.

- Parking visiteur à disposition.

- Parking public à disposition.

- 2 écoles primaires, une public et une privé à proximité.

- 1 collège et 1 lycée à proximité.

- Une piscine à proximité ( avec le Bassin Olympique des J. O. en cours d'aménagement pour le recevoir en 2025).

- A proximité de tous les commerces et du marché du centre ville.

- A proximité du splendide Parc Forestier de La Poudrerie et du Golf.

 Caractéristiques techniques du logement :

 - Taxe foncière : 1795 euros.

- Charges de copropriété : 300
 euros.

- DPE : E.

- Mode de chauffage et distribution
 d'eau chaude : Réseau de chaleur.

Appartement idéal pour un couple avec enfants.

Une offre rare sur le secteur.";https://www.pap.fr/annonces/appartement-sevran-93270-r454401515;Sevran - Livry//Sevran - Beaudottes//Rougemont - Chanteloup
F53/1157 /  19 octobre 2024;42480.0;19/10/2024;380000.0;45.523261;4.285225;maison;B;"Description T5 à Andrezieux Bouthéon
Maison de 165 m2.
Découvrez cette ancienne grange transformée en maison de 165 m², limitrophe de La Fouillouse, de St Just.

L'entrée se fait par un portail électrique, et donne accès sur le carport où deux véhicules peuvent stationner.

Profitez de moments de détente sur la vaste terrasse, tout en appréciant le terrain de pétanque et sa dépendance astucieusement intégrée sous l'escalier, avec une seconde entrée, parfaite pour vos projets de jardinage et de bricolage.

Le jardin est agréablement agrémenté d'arbres fruitiers, cerisier et prunier et est piscinable.

Le rez-de-chaussée vous accueille avec une cuisine aménagée et équipée de 38 m², parfaite pour les amateurs de gastronomie. Le salon spacieux de 36 m² invite à la détente en famille. Vous trouverez également une buanderie de 6 m² et un wc indépendant, ajoutant une touche de praticité. Une chambre de 10 m² avec sa propre douche complète ce niveau, offrant un espace de vie supplémentaire ou un lieu idéal pour accueillir vos invités.

À l'étage, trois chambres lumineuses de 12 m², 24 m² et 24 m² vous attendent, chacune offrant un espace intime et confortable. Un wc indépendant et une salle de bain de 6 m² viennent compléter cet étage, assurant un confort optimal pour toute la famille. Une pièce de lecture de 8 m² est à votre disposition, un espace parfait pour vos moments de détente ou de travail. Grâce au chauffage électrique et aux menuiseries pvc double vitrage, cette maison offre une isolation optimale tant acoustique que thermique d'où un excellent bilan énergétique, classée B en consommation et A en émissions de gaz à effet de serre.

La maison dispose également de stationnement extérieur pour accueillir facilement vos invités. Située à proximité des écoles, des transports en commun, du centre-ville, d'un centre commercial et des commerces locaux, cette maison offre un cadre de vie pratique et agréable. La Fouillouse et Andrézieux-Bouthéon sont des communes accueillantes, où il fait bon vivre, alliant tranquillité et dynamisme. Vous apprécierez les commodités locales et la qualité de vie que propose cette belle région.

Ne manquez pas l'opportunité de devenir propriétaire de cette maison d'exception, où chaque détail a été pensé pour votre confort et votre bien-être.



Caractéristiques du bien
5 pièces
165m2 environ
4 chambres
Balcon / Terrasse
Jardin / Terrain
Agencement
4 chambres
Extérieur
Surface terrain : 700 m2
Dépendance
Terrasse
Annexes
Box
Diagnostic de performance énergétique (DPE)
Classe Énerg A
Indice d'émissions de gaz à effet de serre
3 kgCO₂/m².an
info
Qualité de connexion internet à Andrezieux boutheon";https://www.pap.fr/annonces/maison-la-fouillouse-42480-r455301157;
F50/2041 /  19 octobre 2024;75011.0;19/10/2024;80000.0;48.861908;2.373125;fonds;D;"Découvrez un emplacement de 1er ordre sur un grand carrefour du 11ème arrondissement, quartier Mairie.
Passage très important et une sortie de métro devant la porte.
Surface totale d'environ 75 m2 dont 40 m2 au rez-de-chaussée et le reste dans un sous-sol aménagé, propre et en parfait état (une seule grande pièce).
Le rez-de-chaussée est propre, bien aménagé et équipé avec une grande vitrine de 7ml.
Actuellement deux activités dans le local, transfert d'argent et épicerie. D'autres sont possibles.
Le grand trottoir devant la porte permet d'y installer une terrasse.
Quartier très animé, facilité relatives de stationnement et places de livraisons disponibles en face.";https://www.pap.fr/annonces/fonds-de-commerce-paris-11e-75011-r455002041;Saint-Ambroise//Richard-Lenoir//Parmentier
